Countries,Revenue_generated($),Percentage of Loan Applications_Approved,Loan Types,Percentage_of _LoanPortfolio, Percentage_of_Delinquent_Loans,Loan_origination_Cost_in_USD,Credit_Score_Ranges,Loan_Delinquency_Rate(%),Revenue Distribution_by_Region:,Revenue_generated,Region_revenue_generated,Loan_Application_Stage,Number_of_Loans_or_Conversion_Rate,Cost_Efficiency_Ratio,Time Period_Months($)
Norway,9831558,87,Home Equity Line of Credit Construction loan,30,2,287,610,1,Europe,30990077,Americas,Lead,964,86.58,11431192
Qatar,9013500,75,Fixed-rate mortgage,24,3.5,290,789,8,Europe,12175245,Europe,Funding,907,67.53,10276538
Australia,9173312,71,Jumbo mortgage,26,4,302,838,4,Americas,11110242,Middle East and Africa,Lead,354,78.41,9785075
SAR United States,9311317,84,Jumbo mortgage,20,4,458,580,6,Americas,20411153,Asia-Pacific,Funding,562,77.12,11425112
Ireland,9249270,79,Fixed-rate mortgage,11,4,262,712,2,Americas,23967934,Asia-Pacific,Lead,741,65.2,10204453
Darussalam,9923007,83,Adjustable-rate mortgage,30,"",602,510,1,Europe,12091210,Middle East and Africa,Lead,606,72.61,11759809
Qatar,9592516,87,Adjustable-rate mortgage,24,1,441,604,3,Asia-Pacific,28999140,Americas,Funding,327,64.78,10157885
Germany,9692179,74,Fixed-rate mortgage,5,2.5,548,599,2,Americas,27072871,Europe,Funding,727,66.21,9629848
"",9286158,90,Adjustable-rate mortgage,27,1,454,707,3,Asia-Pacific,20832719,Europe,Underwriting,586,78.79,11227192
Qatar,9944422,81,Adjustable-rate mortgage,24,1.5,564,762,10,Europe,33411018,Middle East and Africa,Funding,421,83.48,9540018
San Marino,9136398,90,Home Equity Line of Credit Construction loan,18,2,531,646,8,Middle East and Africa,33319069,Europe,Underwriting,171,63.32,10147211
"",9894139,72,Jumbo mortgage,13,2,510,355,9,Americas,10484713,Asia-Pacific,Funding,802,72.87,11011715
Singapore,9291170,80,Home Equity Line of Credit Construction loan,38,1.5,409,473,2,Asia-Pacific,26568891,Middle East and Africa,Funding,437,62.04,11941169
Iceland,9747813,70,Adjustable-rate mortgage,29,1.5,547,727,8,Asia-Pacific,29402626,Asia-Pacific,Funding,149,85.92,9788089
Germany,9163278,84,Adjustable-rate mortgage,6,"",321,563,9,Europe,11051639,Europe,Application,673,88.49,11709022
Austria,9153474,79,Home Equity Line of Credit Construction loan,11,4,621,513,3,Middle East and Africa,11560874,Middle East and Africa,Application,309,85.83,10865316
Norway,9504995,74,Home Equity Line of Credit Construction loan,25,3.5,555,322,2,Middle East and Africa,20427161,Asia-Pacific,Underwriting,265,64.9,10117370
Sweden,9212256,70,Home Equity Line of Credit Construction loan,17,4,347,718,4,Europe,27196329,Europe,Lead,572,83.76,9631533
Sweden,9395388,86,Adjustable-rate mortgage,9,2,356,546,10,Europe,18490383,Asia-Pacific,Underwriting,183,61.53,10872601
Kuwait,9756177,70,Home Equity Line of Credit Construction loan,40,"",531,464,7,Middle East and Africa,24418326,Europe,Underwriting,265,71.37,9716625
San Marino,9529895,75,Fixed-rate mortgage,21,2.5,645,521,3,Americas,11865796,Middle East and Africa,Underwriting,115,69.49,9593666
Macao SAR,9132154,80,Adjustable-rate mortgage,10,3,298,365,10,Asia-Pacific,27645786,Europe,Underwriting,819,76.27,9745786
SAR United States,9854164,88,Adjustable-rate mortgage,36,0.5,410,515,10,Middle East and Africa,21759974,Asia-Pacific,Funding,635,79.81,11655058
San Marino,9699951,88,Home Equity Line of Credit Construction loan,7,2,434,723,3,Americas,26765832,Middle East and Africa,Application,843,88.8,10158716
Sweden,9209351,78,Fixed-rate mortgage,18,3.5,549,596,1,Middle East and Africa,23918492,Americas,Funding,686,78.13,10167600
United Arab Emirates,9781402,73,Adjustable-rate mortgage,26,2.5,320,342,7,Europe,19894004,Americas,Underwriting,663,61.64,10637707
Macao SAR,9323415,80,Home Equity Line of Credit Construction loan,20,3,529,426,1,Middle East and Africa,17569998,Europe,Lead,276,87.5,9654591
Kuwait,9616668,85,Adjustable-rate mortgage,22,3.5,608,632,5,Americas,27790475,Europe,Application,501,61.6,11492879
Norway,9556446,76,Jumbo mortgage,12,1.5,262,409,10,Asia-Pacific,31140166,Middle East and Africa,Funding,473,70.62,11088980
Hong Kong,9587618,73,Fixed-rate mortgage,10,2.5,559,759,2,Middle East and Africa,25919750,Middle East and Africa,Funding,392,79.78,10670760
Hong Kong,9059216,89,Fixed-rate mortgage,26,3.5,496,709,2,Middle East and Africa,24571603,Europe,Underwriting,640,89.9,10302437
Kuwait,9637637,75,Adjustable-rate mortgage,31,4,588,844,6,Americas,22716821,Europe,Lead,846,75.01,11927817
SAR United States,9760278,83,Home Equity Line of Credit Construction loan,30,3,559,645,3,Middle East and Africa,30202210,Europe,Underwriting,290,63.96,10197799
Qatar,9127422,85,Home Equity Line of Credit Construction loan,6,3.5,488,537,5,Europe,25807089,Middle East and Africa,Application,139,66.01,10245978
Macao SAR,9394981,89,Jumbo mortgage,25,3,470,600,9,Middle East and Africa,18992422,Europe,Funding,651,66.68,11296731
Switzerland,9933144,84,Jumbo mortgage,9,3,498,667,2,Europe,13236220,Asia-Pacific,Funding,580,71.03,10787182
Norway,9594418,89,Home Equity Line of Credit Construction loan,8,3.5,640,815,9,Asia-Pacific,24706287,Middle East and Africa,Lead,420,66.38,10726119
Darussalam,9399654,76,Jumbo mortgage,8,2,540,609,7,Asia-Pacific,11934016,Europe,Application,424,74.4,9572057
Netherlands,9244833,76,Home Equity Line of Credit Construction loan,23,"",574,822,3,Middle East and Africa,20331955,Asia-Pacific,Lead,740,88.07,11263285
Austria,9865671,82,Fixed-rate mortgage,20,"",501,718,7,Americas,32803771,Americas,Underwriting,235,78.74,11183851
"",9586963,70,Home Equity Line of Credit Construction loan,38,1.5,267,499,8,Europe,23723836,Middle East and Africa,Funding,536,70.16,10560807
Sweden,9378640,89,Adjustable-rate mortgage,25,3.5,280,300,1,Americas,28904177,Europe,Application,120,83.66,10297334
Austria,9386409,74,Jumbo mortgage,32,4,289,463,9,Middle East and Africa,11034682,Europe,Lead,926,81.92,9905494
Macao SAR,9905334,79,Adjustable-rate mortgage,18,3,318,346,8,Asia-Pacific,29764955,Europe,Funding,372,76.93,9612760
Singapore,9447388,83,Home Equity Line of Credit Construction loan,18,4,433,775,6,Americas,23373468,Asia-Pacific,Funding,147,83.09,9963577
Singapore,9182827,72,Home Equity Line of Credit Construction loan,13,3.5,264,736,3,Asia-Pacific,11883290,Europe,Application,746,78.22,10671241
SAR United States,9505887,74,Fixed-rate mortgage,34,1,284,714,3,Europe,34436725,Americas,Funding,813,77.02,11947600
SAR United States,9465061,81,Fixed-rate mortgage,32,3,462,438,1,Europe,10129216,Americas,Underwriting,539,77.48,10563939
Germany,9024845,85,Jumbo mortgage,22,2.5,620,748,8,Asia-Pacific,10850690,Middle East and Africa,Lead,425,64.77,9608297
Brunei,9528978,82,Fixed-rate mortgage,28,2,370,754,5,Middle East and Africa,17026027,Middle East and Africa,Underwriting,698,77.79,10114576
Ireland,9654578,74,Jumbo mortgage,24,1,405,844,5,Americas,21657707,Asia-Pacific,Underwriting,192,80.82,11677356
Germany,9933374,73,Fixed-rate mortgage,26,3,272,777,7,Americas,14625540,Middle East and Africa,Application,376,65.41,9613647
Australia,9130955,72,Home Equity Line of Credit Construction loan,24,1,335,600,10,Americas,11761190,Middle East and Africa,Application,263,76.1,9894330
Hong Kong,9188143,80,Adjustable-rate mortgage,34,1,495,456,3,Middle East and Africa,18672973,Middle East and Africa,Funding,992,83.57,10326028
Luxembourg,9608151,84,Jumbo mortgage,33,4,308,356,10,Americas,21655290,Middle East and Africa,Application,185,75.06,9619247
SAR United States,9604890,72,Home Equity Line of Credit Construction loan,14,2,344,389,5,Middle East and Africa,29569720,Asia-Pacific,Application,258,66.27,11869549
United Arab Emirates,9360624,75,Adjustable-rate mortgage,39,1,338,472,1,Middle East and Africa,10976420,Americas,Lead,904,84.23,10782615
Australia,9815609,75,Fixed-rate mortgage,38,"",385,774,8,Europe,17369395,Americas,Funding,719,72.65,9985487
Australia,9546984,70,Fixed-rate mortgage,37,3,646,836,4,Americas,18709610,Europe,Application,864,85.86,9628003
Darussalam,9792693,90,Jumbo mortgage,5,2,557,439,1,Americas,15221157,Europe,Underwriting,932,76.68,10561148
Macao SAR,9819503,78,Home Equity Line of Credit Construction loan,11,1,319,759,10,Asia-Pacific,17211050,Americas,Application,371,72.62,9716597
Ireland,9495167,76,Fixed-rate mortgage,36,1,267,837,1,Europe,27289074,Middle East and Africa,Application,815,73.91,11586905
Germany,9430786,76,Fixed-rate mortgage,38,2,445,675,5,Europe,34814656,Middle East and Africa,Application,145,68.69,10159168
Kuwait,9291952,79,Jumbo mortgage,30,3,475,531,10,Europe,15175975,Europe,Lead,203,84.26,10673542
Macao SAR,9750224,72,Home Equity Line of Credit Construction loan,40,3.5,535,501,10,Americas,20953266,Middle East and Africa,Application,493,63.35,9643780
Ireland,9737659,90,Fixed-rate mortgage,27,4,638,679,1,Americas,29562020,Americas,Application,570,73.82,9660909
United Arab Emirates,9861098,79,Home Equity Line of Credit Construction loan,23,3.5,332,760,8,Asia-Pacific,18762977,Middle East and Africa,Funding,881,75.04,10252596
Australia,9802790,72,Home Equity Line of Credit Construction loan,24,3,478,574,9,Asia-Pacific,20358762,Asia-Pacific,Funding,288,70.47,9537027
Norway,9789256,90,Jumbo mortgage,26,1.5,432,640,3,Americas,32317070,Middle East and Africa,Funding,891,86.61,10097471
Netherlands,9362876,80,Home Equity Line of Credit Construction loan,22,0.5,397,658,10,Asia-Pacific,30196362,Americas,Application,679,83.3,10701101
Brunei,9693665,71,Adjustable-rate mortgage,28,1,489,800,2,Europe,28527473,Americas,Application,821,64.99,10134999
Germany,9622846,79,Fixed-rate mortgage,32,3,362,353,6,Middle East and Africa,15881587,Americas,Application,971,79.04,10065285
Netherlands,9564561,84,Home Equity Line of Credit Construction loan,13,0.5,546,661,3,Asia-Pacific,10176468,Americas,Funding,106,84.46,11063115
Switzerland,9602545,77,Jumbo mortgage,5,3,465,775,9,Middle East and Africa,33023478,Middle East and Africa,Application,895,65.27,11348620
Germany,9525144,88,Fixed-rate mortgage,22,3,328,387,8,Europe,32302003,Middle East and Africa,Underwriting,376,71.45,11157726
Denmark,9161086,80,Fixed-rate mortgage,11,0.5,606,490,4,Americas,19164112,Middle East and Africa,Underwriting,896,82.25,10391830
Switzerland,9674110,78,Home Equity Line of Credit Construction loan,7,"",547,656,9,Americas,15334920,Americas,Underwriting,747,60.94,11776115
Hong Kong,9298384,74,Jumbo mortgage,18,1.5,389,521,6,Middle East and Africa,22952740,Asia-Pacific,Funding,453,87.09,10980764
United Arab Emirates,9173214,71,Adjustable-rate mortgage,39,3.5,428,595,1,Middle East and Africa,17756298,Americas,Funding,468,85.95,10793142
Norway,9849882,74,Jumbo mortgage,6,4,512,682,6,Americas,24746900,Americas,Funding,669,72.78,9750674
Denmark,9710765,90,Adjustable-rate mortgage,12,"",307,758,3,Asia-Pacific,25743502,Middle East and Africa,Application,198,71.81,9629725
Singapore,9455966,72,Adjustable-rate mortgage,31,3.5,360,364,10,Middle East and Africa,28861841,Americas,Lead,542,88.44,10698705
Qatar,9598080,70,Jumbo mortgage,17,1.5,607,735,3,Asia-Pacific,11053181,Americas,Underwriting,107,68.27,11667710
Switzerland,9724214,83,Home Equity Line of Credit Construction loan,5,4,391,846,4,Middle East and Africa,15245865,Asia-Pacific,Underwriting,812,71.55,9751282
Netherlands,9991859,80,Jumbo mortgage,30,2,556,341,3,Middle East and Africa,20132682,Americas,Lead,940,70.5,11041289
Ireland,9867723,84,Fixed-rate mortgage,22,0.5,453,678,1,Europe,30384254,Middle East and Africa,Underwriting,381,85.92,9726619
United Arab Emirates,9666875,78,Jumbo mortgage,7,0.5,537,593,9,Europe,30085935,Asia-Pacific,Application,704,61.45,9566864
Norway,9215248,72,Adjustable-rate mortgage,26,1,599,656,5,Middle East and Africa,12454968,Asia-Pacific,Application,607,63.55,10385337
Qatar,9006597,85,Home Equity Line of Credit Construction loan,13,4,575,450,10,Europe,15905599,Americas,Lead,713,80.94,10842172
Austria,9459861,70,Adjustable-rate mortgage,30,1,603,752,4,Americas,17762090,Americas,Funding,132,70.06,9978347
Austria,9713065,79,Home Equity Line of Credit Construction loan,15,2.5,607,590,3,Asia-Pacific,11177471,Europe,Underwriting,661,82.98,11674846
Singapore,9775268,78,Fixed-rate mortgage,29,2,552,775,9,Europe,15514005,Middle East and Africa,Funding,161,89.23,10415034
Germany,9947266,70,Adjustable-rate mortgage,11,1,369,765,10,Americas,34906914,Middle East and Africa,Underwriting,539,68.08,10228211
Austria,9127673,88,Home Equity Line of Credit Construction loan,12,0.5,443,658,8,Americas,30947087,Asia-Pacific,Funding,585,81.19,9767976
Kuwait,9127636,89,Jumbo mortgage,40,"",426,439,9,Americas,14741533,Americas,Lead,193,66.65,11558344
Austria,9074472,88,Jumbo mortgage,6,0.5,388,389,6,Middle East and Africa,14841830,Europe,Lead,495,62.47,11449872
Norway,9088938,74,Fixed-rate mortgage,25,1,345,366,3,Asia-Pacific,21343605,Americas,Funding,291,85.49,10649690
San Marino,9109256,84,Fixed-rate mortgage,14,3.5,418,469,2,Middle East and Africa,28819569,Europe,Underwriting,415,85.33,10034147
Luxembourg,9215680,84,Jumbo mortgage,18,1.5,516,638,5,Middle East and Africa,15925713,Asia-Pacific,Underwriting,849,76.43,11113151
Macao SAR,9311861,75,Adjustable-rate mortgage,34,0.5,479,790,6,Americas,28613299,Europe,Lead,532,83.35,11499092
Kuwait,9132951,78,Jumbo mortgage,33,3,394,583,7,Americas,30604792,Americas,Funding,772,77.5,11722209
Germany,9395421,76,Home Equity Line of Credit Construction loan,39,"",285,311,3,Europe,18552619,Europe,Application,740,76.45,11981386
Australia,9512491,75,Home Equity Line of Credit Construction loan,23,3.5,510,653,7,Asia-Pacific,18407806,Asia-Pacific,Lead,452,75.61,10928060
Switzerland,9277102,80,Adjustable-rate mortgage,14,3.5,334,828,7,Middle East and Africa,13039279,Americas,Funding,933,83.88,11922767
Luxembourg,9156710,90,Jumbo mortgage,23,2,302,504,8,Europe,10099326,Asia-Pacific,Lead,152,75.91,11415779
Austria,9101674,80,Jumbo mortgage,8,2.5,585,567,3,Asia-Pacific,20884494,Americas,Application,886,64.03,11134909
Australia,9542518,77,Adjustable-rate mortgage,19,0.5,289,407,1,Americas,32834544,Middle East and Africa,Funding,404,80.25,10943301
SAR United States,9426298,90,Fixed-rate mortgage,29,1.5,641,526,3,Asia-Pacific,20608698,Americas,Funding,261,87.34,11354459
Austria,9170733,75,Jumbo mortgage,38,1,328,725,2,Americas,18324806,Americas,Underwriting,692,80.99,11660436
Ireland,9446573,72,Adjustable-rate mortgage,13,0.5,320,357,2,Americas,30506133,Americas,Funding,447,72.05,9518193
United Arab Emirates,9496105,86,Adjustable-rate mortgage,33,3.5,574,388,9,Asia-Pacific,10500298,Europe,Lead,640,60.61,10472599
Darussalam,9525363,85,Jumbo mortgage,9,2,536,640,3,Asia-Pacific,21776289,Europe,Application,558,70.59,10497123
Luxembourg,9000942,72,Adjustable-rate mortgage,26,2,641,473,8,Asia-Pacific,13604049,Middle East and Africa,Funding,162,60.95,11233251
Germany,9446229,90,Adjustable-rate mortgage,20,"",262,373,5,Europe,19488802,Americas,Lead,988,70.52,9986047
United Arab Emirates,9070485,78,Adjustable-rate mortgage,13,1,365,542,2,Asia-Pacific,15050214,Americas,Funding,808,82.14,10897903
Ireland,9140303,81,Adjustable-rate mortgage,30,1.5,297,620,6,Americas,19510647,Asia-Pacific,Lead,845,69.59,11754436
Norway,9747439,82,Home Equity Line of Credit Construction loan,10,0.5,302,549,2,Middle East and Africa,17359986,Americas,Funding,626,84.49,10045336
SAR United States,9960822,90,Fixed-rate mortgage,20,1.5,386,790,3,Asia-Pacific,16383413,Europe,Lead,318,64.16,11921482
SAR United States,9868023,80,Home Equity Line of Credit Construction loan,36,1,629,312,8,Middle East and Africa,24321415,Middle East and Africa,Funding,544,84.87,11769318
SAR United States,9022599,73,Fixed-rate mortgage,32,1.5,531,608,10,Asia-Pacific,22247823,Europe,Lead,506,85.7,11422221
SAR United States,9267520,73,Adjustable-rate mortgage,9,4,290,674,4,Europe,17874131,Americas,Application,900,84.64,10555604
SAR United States,9369677,81,Adjustable-rate mortgage,5,3.5,462,809,2,Middle East and Africa,22156603,Europe,Funding,192,64.8,11096196
Austria,9611270,79,Jumbo mortgage,32,0.5,284,568,2,Asia-Pacific,31517240,Americas,Funding,964,87.63,10488604
Kuwait,9596609,77,Fixed-rate mortgage,12,1,476,635,10,Middle East and Africa,12608138,Americas,Underwriting,507,88.61,10054741
Denmark,9545083,74,Adjustable-rate mortgage,27,4,405,430,2,Americas,16309277,Middle East and Africa,Application,223,80.06,11533223
Sweden,9434267,73,Fixed-rate mortgage,17,3,260,719,7,Asia-Pacific,11397548,Americas,Lead,665,81.98,10705287
Sweden,9467007,85,Jumbo mortgage,37,4,546,676,8,Asia-Pacific,19976369,Asia-Pacific,Underwriting,754,65.04,9505367
Switzerland,9566568,88,Fixed-rate mortgage,16,3,459,668,5,Asia-Pacific,14738996,Middle East and Africa,Funding,983,86.81,11782300
Iceland,9266808,89,Fixed-rate mortgage,35,2,585,707,9,Europe,16204076,Europe,Underwriting,992,68.0,11674570
SAR United States,9456212,70,Home Equity Line of Credit Construction loan,30,"",256,497,9,Americas,13948328,Asia-Pacific,Funding,756,62.93,11656125
Kuwait,9988096,84,Adjustable-rate mortgage,19,1,637,547,8,Europe,31258883,Europe,Underwriting,655,86.43,9558874
Hong Kong,9401979,85,Jumbo mortgage,14,1,548,419,1,Europe,17258212,Middle East and Africa,Funding,951,89.36,10447344
SAR United States,9238439,88,Fixed-rate mortgage,22,1.5,325,640,4,Asia-Pacific,14335180,Asia-Pacific,Application,770,67.17,9714395
Australia,9922643,90,Adjustable-rate mortgage,40,3.5,455,448,5,Asia-Pacific,28912561,Americas,Application,195,73.91,10703085
United Arab Emirates,9000609,76,Adjustable-rate mortgage,21,0.5,619,322,8,Asia-Pacific,20795363,Americas,Funding,491,66.59,9659726
Iceland,9461150,85,Fixed-rate mortgage,5,3.5,611,383,7,Europe,25714544,Europe,Lead,980,62.27,10985777
Darussalam,9777416,70,Home Equity Line of Credit Construction loan,15,3,482,365,2,Americas,31803469,Middle East and Africa,Underwriting,519,73.34,11082979
Switzerland,9422654,76,Adjustable-rate mortgage,5,3.5,546,529,10,Europe,12255666,Americas,Lead,756,67.87,10074902
Netherlands,9497533,78,Adjustable-rate mortgage,36,0.5,459,479,6,Europe,34496325,Middle East and Africa,Underwriting,663,65.45,10905950
Hong Kong,9624250,86,Adjustable-rate mortgage,21,0.5,596,448,9,Europe,18814500,Middle East and Africa,Underwriting,508,70.0,11073602
Denmark,9359079,72,Home Equity Line of Credit Construction loan,6,"",357,817,10,Middle East and Africa,33738020,Europe,Application,889,75.37,9924922
San Marino,9399043,71,Home Equity Line of Credit Construction loan,7,"",321,360,8,Asia-Pacific,12430596,Europe,Funding,927,81.76,10482974
Macao SAR,9075887,87,Jumbo mortgage,28,2,257,346,1,Asia-Pacific,20655342,Middle East and Africa,Underwriting,565,62.1,9925376
Denmark,9425370,88,Fixed-rate mortgage,30,1.5,461,374,7,Americas,22565492,Europe,Application,394,81.22,11845638
Macao SAR,9624990,74,Home Equity Line of Credit Construction loan,40,2.5,508,848,8,Americas,26099008,Middle East and Africa,Funding,717,68.75,10081487
Denmark,9864950,88,Adjustable-rate mortgage,8,0.5,498,616,7,Americas,19471998,Americas,Application,733,80.26,11137298
Norway,9948106,80,Home Equity Line of Credit Construction loan,25,3,457,815,7,Middle East and Africa,22275800,Asia-Pacific,Application,665,65.51,10964921
Brunei,9107987,79,Home Equity Line of Credit Construction loan,38,3.5,649,527,7,Europe,20611226,Americas,Lead,610,70.57,10763166
United Arab Emirates,9176577,72,Home Equity Line of Credit Construction loan,33,2,552,427,7,Europe,11905085,Europe,Funding,796,62.05,11197122
Luxembourg,9397669,80,Fixed-rate mortgage,23,3.5,480,779,8,Asia-Pacific,16608217,Americas,Funding,851,86.81,9693822
SAR United States,9922896,90,Home Equity Line of Credit Construction loan,19,3,532,414,8,Americas,23800517,Europe,Lead,929,76.8,9952909
Kuwait,9039587,89,Jumbo mortgage,39,1,347,425,2,Americas,32720028,Asia-Pacific,Lead,606,80.97,10603549
Ireland,9238004,74,Adjustable-rate mortgage,14,2.5,608,664,1,Americas,19336020,Asia-Pacific,Application,732,87.78,9978116
Hong Kong,9233307,90,Home Equity Line of Credit Construction loan,11,0.5,407,658,3,Europe,26153742,Asia-Pacific,Underwriting,293,85.19,10765454
Singapore,9776110,83,Home Equity Line of Credit Construction loan,14,1.5,484,745,3,Asia-Pacific,29035236,Europe,Lead,204,67.44,9610459
SAR United States,9315483,90,Adjustable-rate mortgage,26,1,270,711,9,Middle East and Africa,16948920,Asia-Pacific,Lead,480,61.85,10893263
Luxembourg,9453673,72,Fixed-rate mortgage,8,1,455,381,5,Middle East and Africa,27127281,Americas,Lead,660,76.24,10031585
Netherlands,9479591,88,Home Equity Line of Credit Construction loan,10,4,323,640,7,Asia-Pacific,23590426,Middle East and Africa,Funding,585,71.48,10849585
Austria,9871984,90,Jumbo mortgage,33,4,439,476,9,Europe,34842545,Europe,Funding,503,81.23,10243633
Ireland,9509069,86,Fixed-rate mortgage,11,"",446,451,4,Middle East and Africa,19225948,Asia-Pacific,Underwriting,650,79.11,10313245
Australia,9621175,85,Home Equity Line of Credit Construction loan,38,"",586,303,8,Middle East and Africa,34731831,Asia-Pacific,Underwriting,119,71.52,10766986
Switzerland,9852594,90,Jumbo mortgage,23,2,525,748,8,Asia-Pacific,26942072,Europe,Lead,392,70.97,10227611
Norway,9520150,84,Fixed-rate mortgage,16,4,602,569,3,Americas,19286523,Europe,Funding,841,64.14,9619898
Denmark,9626184,76,Home Equity Line of Credit Construction loan,22,"",281,780,10,Americas,21181386,Americas,Funding,146,60.17,10746278
Norway,9386198,89,Home Equity Line of Credit Construction loan,28,2.5,488,475,10,Europe,27834765,Europe,Lead,476,86.22,11630034
SAR United States,9735412,87,Adjustable-rate mortgage,27,1.5,415,415,7,Americas,13401622,Americas,Application,649,61.11,10659073
Norway,9758787,77,Jumbo mortgage,10,2,632,341,10,Asia-Pacific,26931536,Asia-Pacific,Lead,655,65.53,9610365
Singapore,9353263,87,Home Equity Line of Credit Construction loan,17,"",373,348,10,Americas,13168236,Europe,Lead,852,64.66,11031686
Iceland,9639868,82,Jumbo mortgage,8,3.5,315,648,1,Middle East and Africa,23677959,Americas,Funding,234,62.06,10809873
Sweden,9368171,89,Home Equity Line of Credit Construction loan,13,4,262,406,3,Europe,13054705,Asia-Pacific,Underwriting,196,67.87,10134983
Hong Kong,9941950,87,Home Equity Line of Credit Construction loan,27,1,623,650,2,Asia-Pacific,27324980,Asia-Pacific,Funding,830,63.23,11476958
Kuwait,9728777,70,Home Equity Line of Credit Construction loan,22,4,438,394,6,Middle East and Africa,26095023,Middle East and Africa,Application,326,86.66,11467100
Norway,9816734,72,Adjustable-rate mortgage,20,2.5,630,622,8,Middle East and Africa,23720082,Middle East and Africa,Underwriting,427,65.66,11407554
Sweden,9654539,76,Fixed-rate mortgage,14,0.5,371,740,2,Middle East and Africa,26931370,Asia-Pacific,Funding,393,84.83,11764950
"",9790722,78,Home Equity Line of Credit Construction loan,35,1,369,577,6,Middle East and Africa,12555135,Europe,Application,775,66.46,11504309
Austria,9454000,72,Jumbo mortgage,26,4,332,794,7,Americas,22341980,Americas,Application,865,79.4,9947713
Qatar,9682772,80,Home Equity Line of Credit Construction loan,28,0.5,626,553,10,Asia-Pacific,34909108,Europe,Underwriting,420,87.39,11977303
Australia,9432456,78,Adjustable-rate mortgage,15,3,513,557,2,Middle East and Africa,18188693,Asia-Pacific,Lead,716,69.87,9801090
Switzerland,9642163,79,Jumbo mortgage,15,2.5,368,507,10,Asia-Pacific,22340235,Americas,Funding,357,61.29,9583473
Norway,9803229,84,Jumbo mortgage,6,1,478,304,3,Middle East and Africa,25166754,Middle East and Africa,Lead,599,67.76,11844678
Darussalam,9917959,87,Fixed-rate mortgage,15,3.5,464,510,2,Asia-Pacific,11178961,Europe,Lead,940,83.63,11548930
SAR United States,9582527,79,Jumbo mortgage,34,4,592,521,4,Americas,25871513,Americas,Application,840,77.73,10800801
San Marino,9308056,76,Jumbo mortgage,38,0.5,343,828,8,Asia-Pacific,17628149,Middle East and Africa,Funding,852,62.49,10843103
Germany,9395459,73,Jumbo mortgage,17,"",505,773,2,Europe,17902412,Europe,Underwriting,721,87.41,10570421
Denmark,9621428,70,Adjustable-rate mortgage,18,1.5,446,454,10,Americas,25531858,Middle East and Africa,Underwriting,673,71.13,9596031
Austria,9184985,88,Home Equity Line of Credit Construction loan,17,3,413,437,9,Europe,21906427,Asia-Pacific,Funding,724,87.54,11303497
Qatar,9419120,86,Adjustable-rate mortgage,32,2.5,355,822,3,Asia-Pacific,20358208,Europe,Lead,427,80.4,11798302
Hong Kong,9042255,87,Fixed-rate mortgage,31,2.5,346,465,9,Americas,22383027,Americas,Underwriting,591,68.06,9561319
Ireland,9051354,84,Jumbo mortgage,32,1,320,402,6,Americas,22100403,Middle East and Africa,Funding,424,60.54,10909066
Ireland,9832775,86,Jumbo mortgage,23,0.5,331,767,3,Europe,26039854,Middle East and Africa,Application,599,60.61,10779544
Luxembourg,9347175,83,Adjustable-rate mortgage,30,1,260,434,9,Europe,24285486,Middle East and Africa,Underwriting,412,76.38,11762381
Sweden,9363797,74,Fixed-rate mortgage,17,2,596,617,7,Europe,10953887,Middle East and Africa,Lead,253,83.09,9578750
Iceland,9510937,86,Fixed-rate mortgage,37,0.5,444,328,9,Americas,34641358,Middle East and Africa,Application,815,68.71,10910810
United Arab Emirates,9326893,78,Home Equity Line of Credit Construction loan,23,4,407,838,4,Middle East and Africa,20062645,Americas,Underwriting,763,72.65,10009423
San Marino,9537632,77,Adjustable-rate mortgage,10,1.5,598,379,6,Middle East and Africa,30115722,Europe,Underwriting,215,75.04,11421718
Switzerland,9485149,72,Home Equity Line of Credit Construction loan,31,2.5,476,401,3,Europe,20792081,Americas,Funding,532,74.57,10531797
Kuwait,9441948,72,Adjustable-rate mortgage,8,1.5,523,724,10,Asia-Pacific,17631725,Asia-Pacific,Underwriting,158,74.09,11938766
Netherlands,9931029,74,Fixed-rate mortgage,27,"",433,521,6,Middle East and Africa,33197047,Europe,Lead,232,84.19,11069270
Ireland,9816959,86,Adjustable-rate mortgage,38,2.5,409,499,2,Europe,32554151,Middle East and Africa,Underwriting,568,62.94,10276116
Denmark,9283062,77,Jumbo mortgage,35,2,305,822,6,Americas,28242074,Asia-Pacific,Underwriting,748,66.19,9984464
San Marino,9446577,77,Home Equity Line of Credit Construction loan,27,"",529,336,9,Asia-Pacific,23311052,Middle East and Africa,Lead,420,89.39,10163813
Switzerland,9527694,70,Home Equity Line of Credit Construction loan,9,0.5,297,334,10,Europe,10604140,Asia-Pacific,Application,918,66.63,10115762
Kuwait,9414350,84,Adjustable-rate mortgage,17,1,418,438,9,Asia-Pacific,19431791,Europe,Funding,378,80.26,11596017
Germany,9277218,87,Fixed-rate mortgage,35,0.5,264,460,7,Europe,31904197,Americas,Lead,416,79.7,9944555
Singapore,9146136,81,Adjustable-rate mortgage,7,"",354,446,10,Asia-Pacific,11443916,Middle East and Africa,Application,254,76.67,10258316
SAR United States,9542375,86,Adjustable-rate mortgage,18,0.5,537,405,8,Americas,27865337,Asia-Pacific,Application,115,80.04,10983355
"",9712987,70,Home Equity Line of Credit Construction loan,33,3,346,757,4,Europe,29464447,Europe,Application,500,65.77,9685349
